trackID, genre
0kN8xEmgMW9mh7UmDYHlJP,dance pop
0kN8xEmgMW9mh7UmDYHlJP,pop
0kN8xEmgMW9mh7UmDYHlJP,post-teen pop
6b8Be6ljOzmkOmFslEb23P,dance pop
6b8Be6ljOzmkOmFslEb23P,pop
6b8Be6ljOzmkOmFslEb23P,post-teen pop
0KKkJNfGyhkQ5aFogxQAPU,dance pop
0KKkJNfGyhkQ5aFogxQAPU,pop
0KKkJNfGyhkQ5aFogxQAPU,post-teen pop
0mBKv9DkYfQHjdMcw2jdyI,dance pop
0mBKv9DkYfQHjdMcw2jdyI,pop
0mBKv9DkYfQHjdMcw2jdyI,post-teen pop
2mrZYZGmPFV3QOyYPZ1zsn,dance pop
2mrZYZGmPFV3QOyYPZ1zsn,pop
2mrZYZGmPFV3QOyYPZ1zsn,post-teen pop
0B0tYbVp7pDQAqKDhgMeaL,dance pop
0B0tYbVp7pDQAqKDhgMeaL,pop
0B0tYbVp7pDQAqKDhgMeaL,post-teen pop
1I6pKIyaBp4OebTGLJpCCC,dance pop
1I6pKIyaBp4OebTGLJpCCC,pop
1I6pKIyaBp4OebTGLJpCCC,post-teen pop
6ObpR8ek44tvWefQRcSo8K,dance pop
6ObpR8ek44tvWefQRcSo8K,pop
6ObpR8ek44tvWefQRcSo8K,post-teen pop
5XMkENs3GfeRza8MfVAhjK,dance pop
5XMkENs3GfeRza8MfVAhjK,pop
5XMkENs3GfeRza8MfVAhjK,post-teen pop
7BqBn9nzAq8spo5e7cZ0dJ,dance pop
7BqBn9nzAq8spo5e7cZ0dJ,pop
7BqBn9nzAq8spo5e7cZ0dJ,post-teen pop
1KtU0WCq472KzqCXgMOxkS,dance pop
1KtU0WCq472KzqCXgMOxkS,pop
1KtU0WCq472KzqCXgMOxkS,post-teen pop
3Vo4wInECJQuz9BIBMOu8i,dance pop
3Vo4wInECJQuz9BIBMOu8i,pop
3Vo4wInECJQuz9BIBMOu8i,post-teen pop
6YbhspuOar1D9WSSnfe7ds,dance pop
6YbhspuOar1D9WSSnfe7ds,pop
6YbhspuOar1D9WSSnfe7ds,post-teen pop
32OlwWuMpZ6b0aN2RZOeMS,dance pop
32OlwWuMpZ6b0aN2RZOeMS,pop
32OlwWuMpZ6b0aN2RZOeMS,post-teen pop
