Position,TrackName,Artist,Streams,URL,date,Region
1,Starboy,The Weeknd,3135625,https://open.spotify.com/track/5aAx2yezTd8zXrkmtKl66Z,1/1/17,global
2,Closer,The Chainsmokers,3015525,https://open.spotify.com/track/7BKLCZ1jbUBVqRi2FVlTVw,1/1/17,global
3,Let Me Love You,DJ Snake,2545384,https://open.spotify.com/track/4pdPtRcBmOSQDlJ3Fk945m,1/1/17,global
4,Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,2356604,https://open.spotify.com/track/5knuzwU65gJK7IF5yJsuaW,1/1/17,global
5,One Dance,Drake,2259887,https://open.spotify.com/track/1xznGGDReH1oQq0xzbwXa3,1/1/17,global
6,Fake Love,Drake,2137437,https://open.spotify.com/track/343YBumqHu19cGoGARUTsd,1/1/17,global
7,24K Magic,Bruno Mars,2111599,https://open.spotify.com/track/6b8Be6ljOzmkOmFslEb23P,1/1/17,global
8,Don't Wanna Know,Maroon 5,2107137,https://open.spotify.com/track/5MFzQMkrl1FOOng9tq6R9r,1/1/17,global
9,Black Beatles,Rae Sremmurd,2075732,https://open.spotify.com/track/6fujklziTHa8uoM5OQSfIo,1/1/17,global
10,I Feel It Coming,The Weeknd,1949575,https://open.spotify.com/track/5GXAXm5YOmYT0kL5jHvYBt,1/1/17,global
11,Chantaje,Shakira,1893214,https://open.spotify.com/track/6mICuAdrwEjh6Y6lroV2Kg,1/1/17,global
12,"I Don��t Wanna Live Forever (Fifty Shades Darker) - From Fifty Shades Darker (Original Motion Picture Soundtrack)""""",ZAYN,1857252,https://open.spotify.com/track/3NdDpSvN911VPGivFlV5d0,1/1/17,global
13,Say You Won't Let Go,James Arthur,1812335,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh,1/1/17,global
14,Bad and Boujee (feat. Lil Uzi Vert),Migos,1801707,https://open.spotify.com/track/4Km5HrUvYTaSUfiSGPJeQR,1/1/17,global
15,Cold Water (feat. Justin Bieber & M��),Major Lazer,1731191,https://open.spotify.com/track/6DNtNfH8hXkqOX1sjqmI7p,1/1/17,global
16,In the Name of Love,Martin Garrix,1647944,https://open.spotify.com/track/04DwTuZ2VBdJCCC5TROn7L,1/1/17,global
17,Side To Side,Ariana Grande,1527676,https://open.spotify.com/track/4pLwZjInHj3SimIyN9SnOz,1/1/17,global
18,Call On Me - Ryan Riback Extended Remix,Starley,1507320,https://open.spotify.com/track/78rIJddV4X0HkNAInEcYde,1/1/17,global
19,"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's TROLLS"")""",Justin Timberlake,1480601,https://open.spotify.com/track/6JV2JOEocMgcZxYSZelKcc,1/1/17,global
20,Don't Let Me Down,The Chainsmokers,1438471,https://open.spotify.com/track/0QsvXIfqM0zZoerQfsI9lm,1/1/17,global
21,Treat You Better,Shawn Mendes,1409430,https://open.spotify.com/track/4Hf7WnR761jpxPr5D46Bcd,1/1/17,global
22,Just Hold On,Steve Aoki,1375005,https://open.spotify.com/track/3EmmCZoqpWOTY1g2GBwJoR,1/1/17,global
23,My Way,Calvin Harris,1341827,https://open.spotify.com/track/1vvNmPOiUuyCbgWmtc6yfm,1/1/17,global
24,Starving,Hailee Steinfeld,1338596,https://open.spotify.com/track/1qOLh0tI7trd1zdDKxYZTe,1/1/17,global
25,Bad Things (with Camila Cabello),Machine Gun Kelly,1257334,https://open.spotify.com/track/1PSBzsahR2AKwLJgx8ehBj,1/1/17,global
26,Heathens,Twenty One Pilots,1255839,https://open.spotify.com/track/6i0V12jOa3mr6uu4WYhUBr,1/1/17,global
27,Cheap Thrills,Sia,1238279,https://open.spotify.com/track/27SdWb2rFzO6GWiYDBTD9j,1/1/17,global
28,All We Know,The Chainsmokers,1238138,https://open.spotify.com/track/2rizacJSyD9S1IQUxUxnsK,1/1/17,global
29,Mercy,Shawn Mendes,1215550,https://open.spotify.com/track/4TZy1wLyHec06pwgFYDh1a,1/1/17,global
30,Reggaet�_n Lento (Bailemos),CNCO,1164530,https://open.spotify.com/track/3AEZUABDXNtecAOSC1qTfo,1/1/17,global
31,Broccoli (feat. Lil Yachty),DRAM,1149938,https://open.spotify.com/track/7yyRTcZmCiyzzJlNzGC9Ol,1/1/17,global
32,I Took A Pill In Ibiza - Seeb Remix,Mike Posner,1112074,https://open.spotify.com/track/17Fd6Yb7mSbinKG8LoWfFl,1/1/17,global
33,Safari,J Balvin,1112032,https://open.spotify.com/track/6rQSrBHf7HlZjtcMZ4S4bO,1/1/17,global
34,This Is What You Came For,Calvin Harris,1094062,https://open.spotify.com/track/0azC730Exh71aQlOt9Zj3y,1/1/17,global
35,Work from Home,Fifth Harmony,1059658,https://open.spotify.com/track/4tCtwWceOPWzenK2HAIJSb,1/1/17,global
36,Scars To Your Beautiful,Alessia Cara,1031598,https://open.spotify.com/track/0prNGof3XqfTvNDxHonvdK,1/1/17,global
37,Vente Pa' Ca,Ricky Martin,1016899,https://open.spotify.com/track/7DM4BPaS7uofFul3ywMe46,1/1/17,global
38,All Night,The Vamps,1003894,https://open.spotify.com/track/4b4KcovePX8Ke2cLIQTLM0,1/1/17,global
39,By Your Side,Jonas Blue,971615,https://open.spotify.com/track/1D3ODoXHBLpdxolZRHWV1j,1/1/17,global
40,We Don't Talk Anymore (feat. Selena Gomez),Charlie Puth,971342,https://open.spotify.com/track/68EMU2RD1ECNeOeJ5qAXCV,1/1/17,global
41,Caroline,Amin�,963128,https://open.spotify.com/track/7FB8l7UA1HKqnuSLjP9qDc,1/1/17,global
42,Now and Later,Sage The Gemini,959972,https://open.spotify.com/track/08WPvDEsHvTFuB9w8tC2OS,1/1/17,global
43,Love Me Now,John Legend,950832,https://open.spotify.com/track/6nxQdXa1uAL0rY72wPZu89,1/1/17,global
44,The Mack,Nevada,949200,https://open.spotify.com/track/7aV2mflaASUmGhCErm7kBO,1/1/17,global
45,Alone,Alan Walker,936813,https://open.spotify.com/track/0JiVRyTJcJnmlwCZ854K4p,1/1/17,global
46,Work,Rihanna,899368,https://open.spotify.com/track/14WWzenpaEgQZlqPq2nk4v,1/1/17,global
47,Otra Vez (feat. J Balvin),Zion & Lennox,893174,https://open.spotify.com/track/3QwBODjSEzelZyVjxPOHdq,1/1/17,global
48,I Would Like,Zara Larsson,892922,https://open.spotify.com/track/4Q4jmPHwu0wrJvqrld0FQ6,1/1/17,global
49,Hear Me Now,Alok,873494,https://open.spotify.com/track/1a5Yu5L18qNxVhXx38njON,1/1/17,global
50,Shed a Light,Robin Schulz,868259,https://open.spotify.com/track/1cG0umU5TKStygKsPFZ9pY,1/1/17,global
1,Starboy,The Weeknd,3342769,https://open.spotify.com/track/5aAx2yezTd8zXrkmtKl66Z,1/2/17,global
2,Closer,The Chainsmokers,3019058,https://open.spotify.com/track/7BKLCZ1jbUBVqRi2FVlTVw,1/2/17,global
3,Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,2726981,https://open.spotify.com/track/5knuzwU65gJK7IF5yJsuaW,1/2/17,global
4,Let Me Love You,DJ Snake,2524666,https://open.spotify.com/track/4pdPtRcBmOSQDlJ3Fk945m,1/2/17,global
5,Don't Wanna Know,Maroon 5,2362830,https://open.spotify.com/track/5MFzQMkrl1FOOng9tq6R9r,1/2/17,global
6,"I Don��t Wanna Live Forever (Fifty Shades Darker) - From Fifty Shades Darker (Original Motion Picture Soundtrack)""""",ZAYN,2329762,https://open.spotify.com/track/3NdDpSvN911VPGivFlV5d0,1/2/17,global
7,Say You Won't Let Go,James Arthur,2263324,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh,1/2/17,global
8,Fake Love,Drake,2241455,https://open.spotify.com/track/343YBumqHu19cGoGARUTsd,1/2/17,global
9,24K Magic,Bruno Mars,2152569,https://open.spotify.com/track/6b8Be6ljOzmkOmFslEb23P,1/2/17,global
10,I Feel It Coming,The Weeknd,2135229,https://open.spotify.com/track/5GXAXm5YOmYT0kL5jHvYBt,1/2/17,global
11,Black Beatles,Rae Sremmurd,2114909,https://open.spotify.com/track/6fujklziTHa8uoM5OQSfIo,1/2/17,global
12,One Dance,Drake,1989817,https://open.spotify.com/track/1xznGGDReH1oQq0xzbwXa3,1/2/17,global
13,Chantaje,Shakira,1866507,https://open.spotify.com/track/6mICuAdrwEjh6Y6lroV2Kg,1/2/17,global
14,Cold Water (feat. Justin Bieber & M��),Major Lazer,1830616,https://open.spotify.com/track/6DNtNfH8hXkqOX1sjqmI7p,1/2/17,global
15,Call On Me - Ryan Riback Extended Remix,Starley,1810528,https://open.spotify.com/track/78rIJddV4X0HkNAInEcYde,1/2/17,global
16,In the Name of Love,Martin Garrix,1808723,https://open.spotify.com/track/04DwTuZ2VBdJCCC5TROn7L,1/2/17,global
17,Bad and Boujee (feat. Lil Uzi Vert),Migos,1676078,https://open.spotify.com/track/4Km5HrUvYTaSUfiSGPJeQR,1/2/17,global
18,Side To Side,Ariana Grande,1645732,https://open.spotify.com/track/4pLwZjInHj3SimIyN9SnOz,1/2/17,global
19,Just Hold On,Steve Aoki,1638543,https://open.spotify.com/track/3EmmCZoqpWOTY1g2GBwJoR,1/2/17,global
20,Starving,Hailee Steinfeld,1547351,https://open.spotify.com/track/1qOLh0tI7trd1zdDKxYZTe,1/2/17,global
21,Mercy,Shawn Mendes,1530922,https://open.spotify.com/track/4TZy1wLyHec06pwgFYDh1a,1/2/17,global
22,Bad Things (with Camila Cabello),Machine Gun Kelly,1478772,https://open.spotify.com/track/1PSBzsahR2AKwLJgx8ehBj,1/2/17,global
23,All We Know,The Chainsmokers,1438481,https://open.spotify.com/track/2rizacJSyD9S1IQUxUxnsK,1/2/17,global
24,My Way,Calvin Harris,1427123,https://open.spotify.com/track/1vvNmPOiUuyCbgWmtc6yfm,1/2/17,global
25,Treat You Better,Shawn Mendes,1404053,https://open.spotify.com/track/4Hf7WnR761jpxPr5D46Bcd,1/2/17,global
26,Heathens,Twenty One Pilots,1403117,https://open.spotify.com/track/6i0V12jOa3mr6uu4WYhUBr,1/2/17,global
27,Don't Let Me Down,The Chainsmokers,1373805,https://open.spotify.com/track/0QsvXIfqM0zZoerQfsI9lm,1/2/17,global
28,"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's TROLLS"")""",Justin Timberlake,1274760,https://open.spotify.com/track/6JV2JOEocMgcZxYSZelKcc,1/2/17,global
29,Scars To Your Beautiful,Alessia Cara,1264378,https://open.spotify.com/track/0prNGof3XqfTvNDxHonvdK,1/2/17,global
30,All Night,The Vamps,1201859,https://open.spotify.com/track/4b4KcovePX8Ke2cLIQTLM0,1/2/17,global
31,Love Me Now,John Legend,1190899,https://open.spotify.com/track/6nxQdXa1uAL0rY72wPZu89,1/2/17,global
32,Now and Later,Sage The Gemini,1172766,https://open.spotify.com/track/08WPvDEsHvTFuB9w8tC2OS,1/2/17,global
33,Cheap Thrills,Sia,1167833,https://open.spotify.com/track/27SdWb2rFzO6GWiYDBTD9j,1/2/17,global
34,By Your Side,Jonas Blue,1154877,https://open.spotify.com/track/1D3ODoXHBLpdxolZRHWV1j,1/2/17,global
35,I Would Like,Zara Larsson,1126983,https://open.spotify.com/track/4Q4jmPHwu0wrJvqrld0FQ6,1/2/17,global
36,The Mack,Nevada,1122559,https://open.spotify.com/track/7aV2mflaASUmGhCErm7kBO,1/2/17,global
37,Alone,Alan Walker,1122212,https://open.spotify.com/track/0JiVRyTJcJnmlwCZ854K4p,1/2/17,global
38,Reggaet�_n Lento (Bailemos),CNCO,1116627,https://open.spotify.com/track/3AEZUABDXNtecAOSC1qTfo,1/2/17,global
